"directory","file_name","variable_name","variable_type","description"
"data/","floodchlorinationsurvey.rda","submitted_on","character",
"data/","floodchlorinationsurvey.rda","water_point_name","character",
"data/","floodchlorinationsurvey.rda","latitude","numeric",
"data/","floodchlorinationsurvey.rda","longitude","numeric",
"data/","floodchlorinationsurvey.rda","chlorination_rehab_date","character",
"data/","floodchlorinationsurvey.rda","community_mobilised","character",
"data/","floodchlorinationsurvey.rda","functional_status_before","character",
"data/","floodchlorinationsurvey.rda","rating_bolts_nuts","character",
"data/","floodchlorinationsurvey.rda","rating_compression_cone","character",
"data/","floodchlorinationsurvey.rda","rating_cylinder","character",
"data/","floodchlorinationsurvey.rda","rating_flapper","character",
"data/","floodchlorinationsurvey.rda","rating_footvalve_bobbin","character",
"data/","floodchlorinationsurvey.rda","rating_footvalve_body","character",
"data/","floodchlorinationsurvey.rda","rating_footvalve_oring","character",
"data/","floodchlorinationsurvey.rda","rating_fulcrum_pin","character",
"data/","floodchlorinationsurvey.rda","rating_fulcrum_bearings","character",
"data/","floodchlorinationsurvey.rda","rating_handle","character",
"data/","floodchlorinationsurvey.rda","rating_hanger_pin","character",
"data/","floodchlorinationsurvey.rda","rating_hanger_bearings","character",
"data/","floodchlorinationsurvey.rda","rating_head_bolt","character",
"data/","floodchlorinationsurvey.rda","rating_plunger_bobbin","character",
"data/","floodchlorinationsurvey.rda","rating_plunger_body","character",
"data/","floodchlorinationsurvey.rda","rating_plunger_useal","character",
"data/","floodchlorinationsurvey.rda","rating_pump_head_case","character",
"data/","floodchlorinationsurvey.rda","rating_pump_head_cover","character",
"data/","floodchlorinationsurvey.rda","rating_rising_main","numeric",
"data/","floodchlorinationsurvey.rda","rating_rising_centralisers","character",
"data/","floodchlorinationsurvey.rda","rating_rods","character",
"data/","floodchlorinationsurvey.rda","rating_rod_centralisers","character",
"data/","floodchlorinationsurvey.rda","rating_rodhanger","character",
"data/","floodchlorinationsurvey.rda","rating_rope","character",
"data/","floodchlorinationsurvey.rda","rating_socket","character",
"data/","floodchlorinationsurvey.rda","rating_steel_cone","character",
"data/","floodchlorinationsurvey.rda","rating_top_sleeve","character",
"data/","floodchlorinationsurvey.rda","rod_count","numeric",
"data/","floodchlorinationsurvey.rda","broken_parts_fished_out","character",
"data/","floodchlorinationsurvey.rda","broken_parts_comments","character",
"data/","floodchlorinationsurvey.rda","silt_observed","character",
"data/","floodchlorinationsurvey.rda","corrosion_observed","character",
"data/","floodchlorinationsurvey.rda","slime_observed","character",
"data/","floodchlorinationsurvey.rda","rising_main_length_m","numeric",
"data/","floodchlorinationsurvey.rda","rope_attached","character",
"data/","floodchlorinationsurvey.rda","photos_of_removed_parts","character",
"data/","floodchlorinationsurvey.rda","pedestal_condition","character",
"data/","floodchlorinationsurvey.rda","pedestal_firm","character",
"data/","floodchlorinationsurvey.rda","photos_of_civil_work","character",
"data/","floodchlorinationsurvey.rda","latrines_within_30m","character",
"data/","floodchlorinationsurvey.rda","latrines_within_100m","character",
"data/","floodchlorinationsurvey.rda","cemetery_within_30m","character",
"data/","floodchlorinationsurvey.rda","waste_dumps_within_30m","character",
"data/","floodchlorinationsurvey.rda","difficult_access_by_car","character",
"data/","floodchlorinationsurvey.rda","chlorination_done","character",
"data/","floodchlorinationsurvey.rda","parts_chlorinated","character",
"data/","floodchlorinationsurvey.rda","parts_chlorinated_unknown","logical",
"data/","floodchlorinationsurvey.rda","borehole_depth_m","numeric",
"data/","floodchlorinationsurvey.rda","water_depth_m","numeric",
"data/","floodchlorinationsurvey.rda","chlorine_water_buckets","numeric",
"data/","floodchlorinationsurvey.rda","hth_dissolved_properly","character",
"data/","floodchlorinationsurvey.rda","chlorinated_parts_installed","character",
"data/","floodchlorinationsurvey.rda","replaced_rising_main_length_m","numeric",
"data/","floodchlorinationsurvey.rda","replaced_rod_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_bolts_nuts_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_bolts_nuts_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_compression_cone_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_compression_cone_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_cylinder_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_cylinder_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_flapper_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_flapper_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_footvalve_bobbin_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_footvalve_bobbin_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_footvalve_body_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_footvalve_body_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_footvalve_oring_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_footvalve_oring_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_fulcrum_pin_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_fulcrum_pin_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_fulcrum_bearings_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_fulcrum_bearings_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_handle_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_handle_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_hanger_pin_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_hanger_pin_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_hanger_bearings_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_hanger_bearings_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_head_bolt_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_head_bolt_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_plunger_bobbin_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_plunger_bobbin_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_plunger_body_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_plunger_body_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_plunger_useal_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_plunger_useal_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_pump_head_case_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_pump_head_case_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_pump_head_cover_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_pump_head_cover_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_rising_main_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_rising_main_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_rising_centralisers_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_rising_centralisers_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_rods_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_rods_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_rod_centralisers_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_rod_centralisers_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_rodhanger_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_rodhanger_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_rope_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_rope_count","numeric",
"data/","floodchlorinationsurvey.rda","replaced_socket_tick","logical",
"data/","floodchlorinationsurvey.rda","replaced_socket_count","numeric",
