submitted_on,water_point_name,latitude,longitude,chlorination_rehab_date,community_mobilised,functional_status_before,rating_bolts_nuts,rating_compression_cone,rating_cylinder,rating_flapper,rating_footvalve_bobbin,rating_footvalve_body,rating_footvalve_oring,rating_fulcrum_pin,rating_fulcrum_bearings,rating_handle,rating_hanger_pin,rating_hanger_bearings,rating_head_bolt,rating_plunger_bobbin,rating_plunger_body,rating_plunger_useal,rating_pump_head_case,rating_pump_head_cover,rating_rising_main,rating_rising_centralisers,rating_rods,rating_rod_centralisers,rating_rodhanger,rating_rope,rating_socket,rating_steel_cone,rating_top_sleeve,rod_count,broken_parts_fished_out,broken_parts_comments,silt_observed,corrosion_observed,slime_observed,rising_main_length_m,rope_attached,photos_of_removed_parts,pedestal_condition,pedestal_firm,photos_of_civil_work,latrines_within_30m,latrines_within_100m,cemetery_within_30m,waste_dumps_within_30m,difficult_access_by_car,chlorination_done,parts_chlorinated,parts_chlorinated_unknown,borehole_depth_m,water_depth_m,chlorine_water_buckets,hth_dissolved_properly,chlorinated_parts_installed,replaced_rising_main_length_m,replaced_rod_count,replaced_bolts_nuts_tick,replaced_bolts_nuts_count,replaced_compression_cone_tick,replaced_compression_cone_count,replaced_cylinder_tick,replaced_cylinder_count,replaced_flapper_tick,replaced_flapper_count,replaced_footvalve_bobbin_tick,replaced_footvalve_bobbin_count,replaced_footvalve_body_tick,replaced_footvalve_body_count,replaced_footvalve_oring_tick,replaced_footvalve_oring_count,replaced_fulcrum_pin_tick,replaced_fulcrum_pin_count,replaced_fulcrum_bearings_tick,replaced_fulcrum_bearings_count,replaced_handle_tick,replaced_handle_count,replaced_hanger_pin_tick,replaced_hanger_pin_count,replaced_hanger_bearings_tick,replaced_hanger_bearings_count,replaced_head_bolt_tick,replaced_head_bolt_count,replaced_plunger_bobbin_tick,replaced_plunger_bobbin_count,replaced_plunger_body_tick,replaced_plunger_body_count,replaced_plunger_useal_tick,replaced_plunger_useal_count,replaced_pump_head_case_tick,replaced_pump_head_case_count,replaced_pump_head_cover_tick,replaced_pump_head_cover_count,replaced_rising_main_tick,replaced_rising_main_count,replaced_rising_centralisers_tick,replaced_rising_centralisers_count,replaced_rods_tick,replaced_rods_count,replaced_rod_centralisers_tick,replaced_rod_centralisers_count,replaced_rodhanger_tick,replaced_rodhanger_count,replaced_rope_tick,replaced_rope_count,replaced_socket_tick,replaced_socket_count,replaced_steel_cone_tick,replaced_steel_cone_count,replaced_top_sleeve_tick,replaced_top_sleeve_count,functionality_after,time_to_fill_20l_bucket,strokes_to_yield_water
25/06/2019,Beseni borehole,-15.6257309,35.5104587,13/06/2019,Yes,Partially Functional,2,2,1,Missing,2,1,2,1,3,2,1,2,2,2,1,3,2,2,2,4,4,4,2,2,2,1,1,10,No,NA,No,No,No,32,Yes,https://api.mwater.co/v3/images/9771504bd95c41a1a7a38e1af82fd277; https://api.mwater.co/v3/images/c776abcd2d1f41e493096e42ce544089,Minimal Wear,Yes,https://api.mwater.co/v3/images/1aa6be33360f448a90deafc9f595c356; https://api.mwater.co/v3/images/d4712dad2a054007b26a5212f36e0bd4; https://api.mwater.co/v3/images/31c8b2e57f9e4064bb1139f02ea547a2,Yes,Yes,No,No,No,No,Yes,NA,NA,NA,NA,NA,NA,32,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1,TRUE,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Functional,58.021,1
3/12/2019,Demula borehole 3,-15.9643583,35.4777033,13/06/2019,Yes,Non-functional,2,2,2,2,2,2,2,2,5,2,3,2,2,2,2,5,2,3,2,2,2,5,2,2,3,2,2,7,No,NA,No,No,Yes,21,Yes,https://api.mwater.co/v3/images/309d5867adcc468fb9a985cb3c9a046f; https://api.mwater.co/v3/images/8933e817678845fb8031c9fdeb494b57; https://api.mwater.co/v3/images/2b7ba1ef4e0649fb8f1cdc509da7b0c4,Minimal Wear,Yes,https://api.mwater.co/v3/images/39f2280d44bc4e089557f4c996bd8881; https://api.mwater.co/v3/images/89853756161544ac82551de15852dd5b; https://api.mwater.co/v3/images/485d8dbd0bad4881932d1374b0943fff; https://api.mwater.co/v3/images/fbf80bda9e604682b69570ee7d85bf37,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,NA,28,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,1,TRUE,1,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Functional,49.56,1
22/02/2020,Demula borehole 3,-15.9643583,35.4777033,13/06/2019,Yes,Partially Functional,5,2,2,3,2,2,3,2,5,2,5,5,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,9,No,NA,No,No,No,27,Yes,https://api.mwater.co/v3/images/4290a43e7ed84e079f9a1dcbe7212a07; https://api.mwater.co/v3/images/3b9fd7f215db46779387c126afc87ffc,Minimal Wear,Yes,https://api.mwater.co/v3/images/1dda964691ab4de6afd5befddca78f37; https://api.mwater.co/v3/images/80b5ac1770fd4ad1867a07926be3c211; https://api.mwater.co/v3/images/00af9a5fb34c432d8b2f9cbaffe554d9; https://api.mwater.co/v3/images/45a7051a43e44cc1a59538acfd088b8b; https://api.mwater.co/v3/images/1779364e02184945b7cba5a1b55d23a0,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,NA,27,9,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2,NA,NA,TRUE,1,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Functional,44.402,1
8/7/2019,Sadibwa   village,-15.8182964,35.5255082,13/06/2019,Yes,Partially Functional,2,2,2,3,2,2,2,2,5,2,2,5,3,2,2,5,2,2,2,3,2,4,2,2,2,3,2,11,No,NA,No,No,No,33,Yes,https://api.mwater.co/v3/images/9984fcbf6c77472bbb9a2dd448c75152; https://api.mwater.co/v3/images/7fbb57a6fcdb42469e66f49ec6541f79,Minimal Wear,Yes,https://api.mwater.co/v3/images/5de8027d744b470a8ba3a1f1876abaa0; https://api.mwater.co/v3/images/96db0e51ed9745d9963365bf31626c93; https://api.mwater.co/v3/images/13e3f78bfd304535a73444ec00d4ed4c,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,NA,33,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2,NA,NA,NA,NA,TRUE,2,NA,NA,NA,NA,NA,NA,TRUE,1,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Functional,47.73,1
25/06/2019,Shaibu Water point 3,-15.8444883,35.4697467,13/06/2019,Yes,Partially Functional,3,2,2,2,3,2,2,3,5,2,2,5,2,2,2,3,2,2,2,3,2,5,2,2,3,2,3,7,No,NA,No,No,No,18,Yes,https://api.mwater.co/v3/images/9b3e7eb83e25430ab9e0682c2e3b2dce; https://api.mwater.co/v3/images/b58264eea5e84d39af4f4d0627e31361; https://api.mwater.co/v3/images/adb3a4655ac149799b291e19734c4bc3,Minimal Wear,Yes,https://api.mwater.co/v3/images/70d9d7afb355455f920d93fb386d1f18; https://api.mwater.co/v3/images/57b865717a3e497b8e13b0c181b90d25; https://api.mwater.co/v3/images/f2896d61513f43b19a4fc4a41385ce46; https://api.mwater.co/v3/images/fd36678a3f0c4c01a3705c948bb6cb4b,No,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,18,6,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2,NA,NA,NA,NA,TRUE,2,NA,NA,NA,NA,NA,NA,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Functional,45.84,1
21/02/2020,Shaibu Water point 3,-15.8444883,35.4697467,13/06/2019,Yes,Non-functional,3,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,2,2,2,2,5,4,2,2,3,3,2,11,No,NA,No,No,No,33,Yes,https://api.mwater.co/v3/images/a81f3bafbd974e48a51c32b6920b67ba; https://api.mwater.co/v3/images/9038ebcca4244f25b7e8264a792776e2,Minimal Wear,Yes,https://api.mwater.co/v3/images/f63005319312464993d818b3705891bd; https://api.mwater.co/v3/images/0b791885b2ef4b92b01a06906687aa62; https://api.mwater.co/v3/images/0538b08aca8e4a998bc29341f9cedb1f; https://api.mwater.co/v3/images/8a1d1bbc9ffe4395886f1855f1314acd,No,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,33,11,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1,TRUE,1,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Functional,42.23,1
25/06/2019,Shaibu Water point 1,-15.8456232,35.4779367,13/06/2019,Yes,Partially Functional,2,1,3,2,1,4,5,3,5,2,5,5,2,2,1,5,2,2,2,3,2,2,2,1,2,1,3,8,No,NA,Yes,Yes,No,3,Yes,https://api.mwater.co/v3/images/94178c7fef3945b2a01b81ce80319b8d; https://api.mwater.co/v3/images/742ac37ffafe424e96b940d328668dac; https://api.mwater.co/v3/images/cde6c57b54394b068c68746825810bd3,Minimal Wear,Yes,https://api.mwater.co/v3/images/a2ba27545b814eabbcc1d9b1f4c3f369; https://api.mwater.co/v3/images/038e99e5c63c4566b9944d017e317324; https://api.mwater.co/v3/images/0f7a4042e6764351b55e48dfe74b871b,No,No,No,Yes,No,Yes,NA,NA,21,20,21,Yes,Yes,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,TRUE,1,NA,0,TRUE,2,NA,0,TRUE,1,TRUE,2,NA,0,NA,0,NA,0,TRUE,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,8,NA,0,NA,0,NA,0,NA,0,NA,0,Functional,58.681,1
1/7/2019,N jete(likhonyowera )borehole  01,-15.975199,35.3140382,14/06/2019,Yes,Partially Functional,3,2,2,Missing,2,2,2,2,4,2,2,4,2,5,2,Missing,2,2,2,3,2,5,2,2,3,2,2,10,No,NA,No,No,No,30,Yes,https://api.mwater.co/v3/images/866629f620064eb995e26680d56ee0cb; https://api.mwater.co/v3/images/ff3f9fa9676c4268a0708b80a64ffead,Minimal Wear,Yes,https://api.mwater.co/v3/images/6a1bbe11c87643b491a3712a572f7250; https://api.mwater.co/v3/images/d76e3f930b5840e999b5b61ef7ae9264,No,No,No,No,No,No,Yes,NA,NA,NA,NA,NA,NA,30,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2,NA,NA,NA,NA,TRUE,2,NA,NA,TRUE,1,NA,NA,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Functional,51.28,1
2/7/2019,Njete(likhonyowera )borehole  02,-15.9743726,35.3157741,14/06/2019,Yes,Partially Functional,3,3,3,2,4,4,4,3,4,2,4,4,2,4,2,4,3,2,3,3,2,4,3,3,2,2,2,5,No,"All raising mains, football  and rope were very muddy.",No,No,No,15,Yes,https://api.mwater.co/v3/images/c698793b03a34df6b323e6c7f30ff507,Minimal Wear,Yes,https://api.mwater.co/v3/images/c4f49b55bb1d4b95a68448294409a7d4; https://api.mwater.co/v3/images/6b14e558c34e42ba84a87b56bca56f4e; https://api.mwater.co/v3/images/33fa037bd01a4b9f8ff8edfc40ea9d80; https://api.mwater.co/v3/images/081c77e3dd0c40f586471ab9d17772d5,No,Yes,No,No,No,Yes,NA,NA,14.5,10,10,Yes,Yes,15,5,TRUE,4,NA,NA,NA,NA,NA,NA,TRUE,1,TRUE,1,TRUE,1,NA,NA,TRUE,2,NA,NA,TRUE,1,TRUE,2,NA,NA,TRUE,1,TRUE,1,TRUE,1,TRUE,1,NA,NA,TRUE,1,FALSE,NA,NA,NA,TRUE,2,NA,NA,FALSE,NA,TRUE,3,NA,NA,NA,NA,Functional,50.781,1
12/12/2019,Njete(likhonyowera )borehole  02,-15.9743726,35.3157741,14/06/2019,Yes,Non-functional,2,3,5,4,5,5,5,5,5,3,5,4,Missing,5,5,4,3,3,2,2,4,Missing,4,3,2,2,3,2,Yes,The borehole was found nonfunctional at the day of visit,No,Yes,No,4,Yes,https://api.mwater.co/v3/images/f2da4a6636934a9da5f1f37fc3f3b924; https://api.mwater.co/v3/images/a4077731eade42039e0339a4e9deef6d; https://api.mwater.co/v3/images/cf41c1531eed4fbeaf87d583af9f8743; https://api.mwater.co/v3/images/edc93999642445bda37e17070ce51b3a; https://api.mwater.co/v3/images/a4324d96c40d43cf8fe41dea975fd306; https://api.mwater.co/v3/images/362279dce0014a64a7e43642875e10ba,As New,Yes,https://api.mwater.co/v3/images/c41463c650e442448cf20ceaa30113c6; https://api.mwater.co/v3/images/e9435474002a4e4aa6352d458add3d19; https://api.mwater.co/v3/images/5de1d3960bf44b3baf7ae947b093779d,Yes,Yes,No,No,No,No,Yes,NA,NA,NA,NA,NA,NA,18,6,NA,NA,TRUE,1,TRUE,1,NA,NA,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,4,NA,NA,TRUE,1,TRUE,1,FALSE,NA,TRUE,1,TRUE,1,TRUE,1,NA,NA,NA,NA,TRUE,2,FALSE,NA,TRUE,2,TRUE,6,TRUE,1,TRUE,1,TRUE,2,FALSE,NA,NA,NA,Functional,52.372,1
